NO.,DATA SOURCE,DATABASE TABLE NAME/ FOLDER NAME / FILE NAME ,TABLE NAME,TABLE DESCRIPTION/SUB FOLDER NAME ,FIELD NAME/DATA ATTRIBUTE(S),FIELD DESCRIPTION,ATTACHMENT /REFERENCE (IF ANY) ,MASTER DATA TYPE,SCREEN NAME,PRIMARY KEY ,FOREIGN KEY , IDENTIFIER ,MANDATORY,DATA TYPE,DATA LENGTH,DATA DOMAIN ,DATA GROUP ,DATA ENTITY,DATA ELEMENT,CRITICAL DATA ELEMENT (CDE),DATA CLASSIFICATION,RETENTION PERIOD,PERSONAL DATA,DATA OWNER,EXECUTIVE DATA STEWARD,BUSINESS DATA STEWARD ,DATA ANALYST, COMMENT/NOTE,LAST UPDATED DATE,LAST UPDATED BY
11,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,ENTY_ROWVERSION,System generated field:Entity_ROW VERSION,N/A,Master Data ,System generated field:Entity_ROW VERSION,N,N,No,No,timestamp,8,Physical Asset Management,Reliability Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
12,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,CRT_DT,System generated field:Creation Date,N/A,Master Data ,System generated field:Creation Date,N,N,No,Yes,datetime,8,Physical Asset Management,Reliability Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
13,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,CRTBY_SEUS_KEY,System generated field:Created By Security User Key,N/A,Master Data ,System generated field:Created By Security User Key,N,Y,No,Yes,bigint,8,Physical Asset Management,Reliability Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
14,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,MI_SITE_KEY,System generated field:Site Key,N/A,Master Data ,System generated field:Site Key,N,Y,No,Yes,bigint,8,Physical Asset Management,Reliability Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
15,MI_V4030005 - System Tables,dbo.MI_ENTY_RELS,Entity Relationship,"Entity Relationship refers to the way assets and their related data are organized and interconnected within the system, representing the associations and dependencies between different entities.",ENRL_KEY,System generated field:Enrollment Key,N/A,Transactional Data ,System generated field:Enrollment Key,Y,N,No,Yes ,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
16,MI_V4030005 - System Tables,dbo.MI_ENTY_RELS,Entity Relationship,"Entity Relationship refers to the way assets and their related data are organized and interconnected within the system, representing the associations and dependencies between different entities.",PRED_ENTY_KEY,System generated field:Predecessor_Entity Key,N/A,Transactional Data ,System generated field:Predecessor_Entity Key,N,Y,No,Yes ,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
17,MI_V4030005 - System Tables,dbo.MI_ENTY_RELS,Entity Relationship,"Entity Relationship refers to the way assets and their related data are organized and interconnected within the system, representing the associations and dependencies between different entities.",SUCC_ENTY_KEY,System generated field:Successor_Entity Key,N/A,Transactional Data ,System generated field:Successor_Entity Key,N,Y,No,Yes ,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
18,MI_V4030005 - System Tables,dbo.MI_ENTY_RELS,Entity Relationship,"Entity Relationship refers to the way assets and their related data are organized and interconnected within the system, representing the associations and dependencies between different entities.",FMLY_KEY,System generated field:Family Key,N/A,Transactional Data ,System generated field:Family Key,N,Y,No,Yes ,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
19,MI_V4030005 - System Tables,dbo.MI_ENTY_RELS,Entity Relationship,"Entity Relationship refers to the way assets and their related data are organized and interconnected within the system, representing the associations and dependencies between different entities.",RLDF_KEY,System generated field:Relationship Definition_KEY,N/A,Transactional Data ,System generated field:Relationship Definition_KEY,N,Y,No,Yes ,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
20,MI_V4030005 - System Tables,dbo.MI_ENTY_RELS,Entity Relationship,"Entity Relationship refers to the way assets and their related data are organized and interconnected within the system, representing the associations and dependencies between different entities.",LAST_UPDT_DT,System generated field:Last Updated Date,N/A,Transactional Data ,System generated field:Last Updated Date,N,N,No,No,datetime,8,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
21,MI_V4030005 - System Tables,dbo.MI_ENTY_RELS,Entity Relationship,"Entity Relationship refers to the way assets and their related data are organized and interconnected within the system, representing the associations and dependencies between different entities.",LAST_UPBY_SEUS_KEY,System generated field:Last Updated Security User Key,N/A,Transactional Data ,System generated field:Last Updated Security User Key,N,Y,No,Yes ,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
22,MI_V4030005 - System Tables,dbo.MI_ENTY_RELS,Entity Relationship,"Entity Relationship refers to the way assets and their related data are organized and interconnected within the system, representing the associations and dependencies between different entities.",LOCK_SEQ_NBR,System generated field:Locked Sequence Number,N/A,Transactional Data ,System generated field:Locked Sequence Number,N,N,No,Yes ,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
23,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_KEY,System generated field:Family Key,N/A,Transactional Data ,System generated field:Family Key,Y,N,No,Yes ,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
24,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_TYPE_CD,System generated field:Family_TYPE_CD,N/A,Transactional Data ,System generated field:Family_TYPE_CD,N,N,No,Yes ,nvarchar,4,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
25,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_ID,System generated field:Family ID,N/A,Transactional Data ,System generated field:Family ID,N,N,No,Yes ,nvarchar,50,Physical Asset Management,Maintenance Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
26,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_DB_VIEW_NM,System generated field:Family  Database View Name,N/A,Transactional Data ,System generated field:Family  Database View Name,N,N,No,Yes ,nvarchar,30,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
27,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_PHYS_TBL_NM,System generated field:Family Physical Table Name,N/A,Transactional Data ,System generated field:Family Physical Table Name,N,N,No,Yes ,nvarchar,30,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
28,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,CUST_PROJ_KEY,System generated field:Customer_PROJ_KEY,N/A,Transactional Data ,System generated field:Customer_PROJ_KEY,N,Y,No,No,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
29,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,CUST_CDIT_KEY,System generated field:Customer_CDIT_KEY,N/A,Transactional Data ,System generated field:Customer_CDIT_KEY,N,Y,No,No,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
30,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_CUST_CLS_NM,System generated field:Family_Customer_CLS_NM,N/A,Transactional Data ,System generated field:Family_Customer_CLS_NM,N,N,No,No,nvarchar,255,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
31,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_DESC_TX,System generated field:Family Description Text,N/A,Transactional Data ,System generated field:Family Description Text,N,N,No,No,nvarchar,255,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
32,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_CAPTION_TX,System generated field:Family Caption Text,N/A,Transactional Data ,System generated field:Family Caption Text,N,N,No,Yes ,nvarchar,50,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
33,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_ID_TEMPL_TX,System generated field:Family ID Template Text,N/A,Transactional Data ,System generated field:Family ID Template Text,N,N,No,No,nvarchar,255,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
34,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_PHYS_LOC_TX,System generated field:Family Physical Location Text,N/A,Transactional Data ,System generated field:Family Physical Location Text,N,N,No,No,nvarchar,30,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
35,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_PHYS_LOC_PARMS_TX,System generated field:Family Physical Location Parameter Text,N/A,Transactional Data ,System generated field:Family Physical Location Parameter Text,N,N,No,No,nvarchar,255,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
36,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_ICON_BIN,System generated field:Family_ICON_BIN,N/A,Transactional Data ,System generated field:Family_ICON_BIN,N,N,No,No,image,16,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
37,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,PAR_FMLY_KEY,System generated field:PAR_Family Key,N/A,Transactional Data ,System generated field:PAR_Family Key,N,Y,No,No,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
38,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_SYS_FLG,System generated field:Family_SYS_FLG,N/A,Transactional Data ,System generated field:Family_SYS_FLG,N,N,No,Yes ,nvarchar,1,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
39,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_STAT_IND,System generated field:Family_STAT_IND,N/A,Transactional Data ,System generated field:Family_STAT_IND,N,N,No,Yes ,nvarchar,1,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
40,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,LAST_UPDT_DT,System generated field:Last Updated Date,N/A,Transactional Data ,System generated field:Last Updated Date,N,N,No,No,datetime,8,Physical Asset Management,Maintenance Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
41,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,LAST_UPBY_SEUS_KEY,System generated field:Last Updated Security User Key,N/A,Transactional Data ,System generated field:Last Updated Security User Key,N,Y,No,Yes ,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
42,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,EXPL_CTIT_KEY,System generated field:EXPL CTIT KEY,N/A,Transactional Data ,System generated field:EXPL CTIT KEY,N,N,No,No,bigint,8,Physical Asset Management,Maintenance Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
43,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_STATES_ENABLED_FLG,System generated field:Family_STATES_ENABLED_FLG,N/A,Transactional Data ,System generated field:Family_STATES_ENABLED_FLG,N,N,No,No,nvarchar,1,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
44,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,CONTENT_GUID,System generated field:Content Guide,N/A,Transactional Data ,System generated field:Content Guide,N,N,No,No,binary,16,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
45,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_REDIRECT_URL_TX,System generated field:Family Redirect URL Text,N/A,Transactional Data ,System generated field:Family Redirect URL Text,N,N,No,No,nvarchar,2000,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
46,MI_V4030005 - System Tables,dbo.MI_FAMILIES,Family,The Families refer to different modules or groups of functionalities within the APM suite that cater to specific asset management needs.,FMLY_REDIRECT_FLG,System generated field:Family_REDIRECT_FLG,N/A,Transactional Data ,System generated field:Family_REDIRECT_FLG,N,N,No,No,nvarchar,1,Physical Asset Management,Maintenance Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
