DATA ELEMENT,ENTY_KEY,FMLY_KEY,ENTY_ID,ENTY_CAPTION_TX,LAST_UPDT_DT
Approval Date,0.2023,0.5595,0.5164,0.5494,0.8053
Start & Finish Date,0.3482,0.5217,0.7222,0.7638,0.7261
P2P Duration,0.1741,0.2408,0.6667,0.6547,0.5941
Schedule variance,0.4139,0.6134,0.5095,0.4818,0.5381
Schedule variance,0.4139,0.6134,0.5095,0.4818,0.5381
Final Assessment Score,0.3838,0.6193,0.4491,0.5078,0.4851
Cost,0.1508,0.1043,0.1443,0.4725,0.343
Cost variance,0.3015,0.5213,0.5052,0.7087,0.5574
No. of leak,0.3814,0.5275,0.3651,0.4781,0.3254
No. of rework,0.2843,0.1966,0.2041,0.3118,0.0404
LSIR,0.0,0.3128,0.2887,0.189,0.1715
IRPA,0.0,0.417,0.5774,0.4725,0.4287
PLL,0.0,0.1865,0.1291,0.0845,0.2301
ICAF,0.0,0.5213,0.5774,0.5669,0.343
Impairment frequency,0.5774,0.5808,0.7035,0.658,0.3582
Impulse,0.2279,0.4729,0.4364,0.2857,0.3241
Overpressure,0.3548,0.3271,0.2265,0.1853,0.2354
Thermal radiation,0.2849,0.5911,0.6547,0.7143,0.713
Lower flammability limit,0.2417,0.613,0.5786,0.5556,0.4354
Toxic concentration (ERPG3),0.4181,0.2602,0.5604,0.8124,0.3805
Pool radius,0.0,0.3612,0.4167,0.3819,0.4951
Toxic concentration (IDLH),0.3345,0.2602,0.6005,0.8124,0.4043
Distance,0.4264,0.516,0.7144,0.735,0.667
Flowrate,0.3198,0.516,0.4082,0.5345,0.5457
Pressure,0.3223,0.3344,0.2315,0.1515,0.275
Pipe size,0.3223,0.3901,0.6172,0.4041,0.2292
Pressure,0.3223,0.3344,0.2315,0.1515,0.275
Quantity/volume,0.4975,0.4915,0.5443,0.6682,0.5659
Gas Group/ Apparatus sub-group,0.0335,0.3475,0.2887,0.357,0.5717
Temp Class,0.2727,0.5658,0.3482,0.4558,0.6205
R1,0.0,0.0,0.0,0.0,0.0
R2,0.0,0.0,0.0,0.0,0.0
Grade of Release,0.4404,0.6472,0.4216,0.345,0.501
