DATA ELEMENT,ENTY_KEY,FMLY_KEY,ENTY_ID,ENTY_CAPTION_TX,LAST_UPDT_DT
Concrete Coating Density,0.4286,0.2941,0.5385,0.6429,0.375
Concrete Compressive Strength,0.3125,0.2105,0.3125,0.5,0.2778
Product Density,0.4286,0.2222,0.5385,0.6429,0.4667
Seawater Density,0.5,0.3333,0.6364,0.5,0.4286
Operating Pressure,0.3571,0.2353,0.3571,0.5714,0.5
Operating Temperature,0.3571,0.3125,0.3571,0.5714,0.4
Hydrotest Pressure,0.2857,0.1765,0.3846,0.4,0.5385
Launcher/Receiver Platform Water Depth,0.25,0.35,0.3158,0.4737,0.4211
Surface Current Velocity (1/100 year),0.375,0.4118,0.375,0.5625,0.4118
Maximum Wave Height (100 year),0.3125,0.3529,0.3125,0.3333,0.2778
Maximum Wave Period (100 year),0.2353,0.3529,0.3125,0.4118,0.3529
Significant Wave Height (1/100 year),0.375,0.3333,0.375,0.4706,0.2632
Significant Wave Period (1/100 year),0.3333,0.3,0.4118,0.5882,0.3684
Max Air Temperature,0.3077,0.3571,0.3077,0.4286,0.4615
Seawater Temperature (surface),0.1875,0.3125,0.1875,0.375,0.5
Seabed Temperature,0.2,0.25,0.2857,0.3125,0.6667
Bottom of Pipe to Seabed,0.2667,0.4,0.3571,0.4667,0.5
Soil Type,0.4545,0.3846,0.4545,0.5833,0.5
Trench Depth from Mean Seabed,0.2222,0.2632,0.2941,0.4706,0.4118
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Design Factor,0.3333,0.2941,0.4286,0.5333,0.375
Material Type,0.4167,0.5833,0.4167,0.5385,0.4615
Defect Depth,0.25,0.2143,0.3636,0.3846,0.4167
Defect Length,0.3077,0.2667,0.4167,0.3333,0.3571
Design Pressure,0.3077,0.1875,0.4167,0.3333,0.4615
Depth Sizing Tolerance,0.2778,0.25,0.3529,0.5294,0.4706
Length Sizing Tolerance,0.3125,0.2778,0.3125,0.5,0.3529
Defect Type,0.3636,0.3077,0.5,0.5,0.4167
Corrosion Rate,0.4167,0.2667,0.4167,0.6667,0.3571
Kilometre Post (KP),0.3846,0.4286,0.2857,0.4,0.4286
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Corrosion Allowance,0.2857,0.3333,0.2857,0.5,0.3333
Specified Minimum Yield Strength,0.3333,0.3684,0.4118,0.4211,0.4444
Span Height,0.4167,0.2667,0.4167,0.5385,0.4615
Trawl Vessel Density,0.4286,0.375,0.5385,0.4375,0.4667
Trawling Velocity,0.4,0.3529,0.4,0.6,0.2778
Trawl Board Height,0.25,0.2941,0.3333,0.3529,0.375
Flaw Length,0.3077,0.3571,0.3077,0.3333,0.3571
Operating Pressure,0.3571,0.2353,0.3571,0.5714,0.5
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Maximum Allowable Operating Pressure (MAOP),0.2632,0.3,0.2632,0.4211,0.4444
Dent KP,0.5556,0.2308,0.5556,0.4167,0.4545
Dent Profile,0.3846,0.3333,0.5,0.5,0.4286
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Operating Pressure,0.3571,0.2353,0.3571,0.5714,0.5
Maximum Allowable Working Pressure (MAWP),0.2632,0.3684,0.2,0.35,0.3684
Specified Minimum Tensile Strength,0.2778,0.3158,0.3529,0.3684,0.4706
Flaw Depth,0.2143,0.3571,0.3077,0.3333,0.5833
Operating Temperature,0.3571,0.3125,0.3571,0.5714,0.4
Gouge Depth,0.2308,0.125,0.3333,0.3571,0.5
Gouge Length,0.3333,0.2,0.3333,0.3571,0.3846
Temperature Corresponding to 40 Joules (30 ft-lbs) of Toughness,0.2273,0.3182,0.2857,0.4286,0.45
Specified Minimum Yield Strength,0.3333,0.3684,0.4118,0.4211,0.4444
Material Toughness (Charpy V-Notch),0.3158,0.35,0.3158,0.5556,0.4211
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Maximum Allowable Working Pressure (MAWP),0.2632,0.3684,0.2,0.35,0.3684
Explosion Protection Gas Group,0.2941,0.2632,0.2941,0.5625,0.5
Explosion Protection Temperature Class,0.2941,0.3333,0.2941,0.5625,0.5
Explosion Protection Zone,0.3333,0.2222,0.3333,0.5333,0.375
Tidal Levels,0.3333,0.3846,0.4545,0.3571,0.6364
Tidal Reference,0.3846,0.4286,0.5,0.5,0.4286
Surge Level,0.1538,0.2143,0.1538,0.125,0.4167
Black Bulb,0.1667,0.3333,0.0769,0.2143,0.3333
Wet Bulb,0.2727,0.2308,0.2727,0.2143,0.4545
Salinity,0.4,0.3333,0.4,0.4167,0.3333
Rainfall Intensity,0.5,0.5385,0.5,0.5,0.4286
Total Rainfall Amount,0.2857,0.4286,0.2857,0.4,0.3333
Barometric Pressure,0.25,0.2941,0.25,0.5333,0.4667
Vessel Speed,0.1667,0.2308,0.2727,0.2143,0.6
Distance,0.3636,0.2143,0.5,0.5,0.4167
Tidal Height,0.3333,0.3846,0.4545,0.3571,0.5
Residual Height,0.2667,0.3125,0.3571,0.2941,0.6154
Water Level,0.25,0.3077,0.25,0.2857,0.4167
Tidal Level,0.3636,0.4167,0.5,0.3846,0.5455
Rainfall Amount,0.2857,0.4286,0.2857,0.4,0.3333
Wind Speed,0.3636,0.2143,0.5,0.3846,0.4167
Swell Height,0.3333,0.2857,0.3333,0.2667,0.3846
Sea (Wind) Height,0.3846,0.25,0.5,0.4,0.4286
Wave Period,0.2143,0.2667,0.3077,0.4286,0.3571
Precipitation Rate,0.4167,0.2667,0.4167,0.8182,0.3571
Percentage,0.25,0.1333,0.25,0.5,0.3077
Product Tanker ,0.3571,0.2353,0.3571,0.5714,0.5
Panamax,0.0909,0.1667,0.0909,0.25,0.1667
Aframax,0.0,0.2727,0.0,0.0714,0.0769
Suezmax,0.0769,0.2308,0.0769,0.1333,0.3333
VLCC,0.0,0.0909,0.0,0.0833,0.0909
ULCC,0.0,0.0909,0.0,0.0833,0.2
DCR,0.0,0.0,0.1111,0.0833,0.0909
O&M,0.0,0.1,0.0,0.0909,0.0
Bareboat ,0.2727,0.2308,0.2727,0.4167,0.3333
Mooring Line Diameter,0.3571,0.4,0.4615,0.4667,0.4
Mooring Line Length,0.3846,0.3333,0.3846,0.4,0.25
Mooring Footprint,0.3077,0.2667,0.3077,0.4286,0.1875
Chain Tension,0.4167,0.2667,0.4167,0.6667,0.3571
Offloading Hose Diameter,0.2941,0.4118,0.375,0.3889,0.4118
Offloading Hose Length,0.3333,0.375,0.4286,0.4375,0.4667
Minimum Bending Radius,0.2667,0.3125,0.3571,0.2941,0.4
Offloading Hose Tension,0.3333,0.375,0.4286,0.4375,0.4667
Lightweight,0.2727,0.2308,0.2727,0.2143,0.2308
Deadweight,0.25,0.2143,0.3636,0.2857,0.3077
Transverse Centre Gravity,0.4615,0.3125,0.4615,0.5714,0.3125
Longitudinal Centre Gravity,0.375,0.3333,0.4667,0.5625,0.4118
Vertical Centre Gravity,0.4615,0.4,0.4615,0.5714,0.3125
Stability Indicator,0.3333,0.2941,0.4286,0.5333,0.375
Length,0.3,0.1538,0.3,0.2308,0.25
Roll,0.0,0.0909,0.0,0.0833,0.0909
Heave,0.1,0.1818,0.1,0.1667,0.1818
Surge,0.0909,0.0769,0.0909,0.0714,0.2727
Yaw,0.1111,0.2,0.1111,0.1818,0.0909
Pitch,0.2,0.0769,0.2,0.3636,0.1667
Sway,0.1,0.1818,0.1,0.1667,0.1818
Heading,0.2727,0.2308,0.4,0.3077,0.2308
Velocity,0.3636,0.3077,0.3636,0.5,0.2143
Acceleration,0.3333,0.2857,0.3333,0.5833,0.2857
Angular Velocity,0.4,0.3529,0.4,0.6,0.3529
Angular Acceleration,0.3571,0.3125,0.3571,0.5714,0.4
Plate Thickness,0.4615,0.4,0.3571,0.5714,0.5
Stiffener Size,0.4545,0.2857,0.4545,0.3571,0.2857
Girder Size,0.25,0.2143,0.3636,0.2,0.3077
Wave,0.1,0.1818,0.1,0.1667,0.1818
Surface Current Speed,0.2667,0.2353,0.3571,0.4667,0.6154
Wind Speed,0.3636,0.2143,0.5,0.3846,0.4167
Draft,0.0909,0.1667,0.2,0.1538,0.2727
Freeboard,0.0769,0.2308,0.1667,0.2143,0.2308
Pitch,0.2,0.0769,0.2,0.3636,0.1667
Sway,0.1,0.1818,0.1,0.1667,0.1818
Reaction Load,0.3846,0.3333,0.5,0.6154,0.4286
Reaction Load,0.3846,0.3333,0.5,0.6154,0.4286
Reaction Load,0.3846,0.3333,0.5,0.6154,0.4286
Design Load,0.3077,0.3571,0.4167,0.4286,0.4615
Compression,0.2308,0.2,0.2308,0.4615,0.2
LMU Diameter,0.3077,0.4615,0.4167,0.3333,0.5833
LMU Height,0.3333,0.3846,0.3333,0.2667,0.3846
Plate Thickness,0.4615,0.4,0.3571,0.5714,0.5
Stiffener Size,0.4545,0.2857,0.4545,0.3571,0.2857
Design Load,0.3077,0.3571,0.4167,0.4286,0.4615
Compression,0.2308,0.2,0.2308,0.4615,0.2
Fender Length,0.3077,0.2667,0.4167,0.25,0.3571
Fender Height,0.4167,0.2667,0.5455,0.3333,0.2667
Plate Thickness,0.4615,0.4,0.3571,0.5714,0.5
Stiffener Size,0.4545,0.2857,0.4545,0.3571,0.2857
Design Load,0.3077,0.3571,0.4167,0.4286,0.4615
Compression,0.2308,0.2,0.2308,0.4615,0.2
DSU length,0.3077,0.1875,0.4167,0.25,0.5833
DSU Height,0.3333,0.2,0.4545,0.2667,0.5
Plate Thickness,0.4615,0.4,0.3571,0.5714,0.5
Stiffener Size,0.4545,0.2857,0.4545,0.3571,0.2857
Thruster Power,0.2143,0.1176,0.2143,0.3333,0.4615
Pump Rating,0.3077,0.2667,0.3077,0.4286,0.3571
Ballast Volume,0.2,0.3333,0.2,0.3125,0.5385
Force,0.0909,0.1667,0.0909,0.25,0.0769
Stress,0.2222,0.0833,0.2222,0.1667,0.3
Structural Natural Period,0.3125,0.2778,0.4,0.6,0.6429
Substructure Fatigue Life,0.25,0.375,0.25,0.3529,0.4667
Reserve Strength Ratio (RSR),0.3571,0.2353,0.3571,0.4667,0.3125
Probability of Failure,0.3333,0.4667,0.3333,0.5333,0.4667
Maximum Stress,0.3077,0.3571,0.3077,0.3333,0.4615
Risk Ranking,0.3636,0.3077,0.25,0.2857,0.2143
Design Reinforcement,0.3333,0.2941,0.4286,0.4375,0.2941
Member Unity Check (UC),0.5385,0.375,0.4286,0.4375,0.2222
Design Reinforcement,0.3333,0.2941,0.4286,0.4375,0.2941
Invert Level,0.5,0.3077,0.5,0.3846,0.3077
Invert Level,0.5,0.3077,0.5,0.3846,0.3077
Invert Level,0.5,0.3077,0.5,0.3846,0.3077
Member Unity Check (UC),0.5385,0.375,0.4286,0.4375,0.2222
Road Pavement Layer Thickness,0.3889,0.4211,0.3889,0.5556,0.4211
Member Unity Check (UC),0.5385,0.375,0.4286,0.4375,0.2222
Structural Natural Period,0.3125,0.2778,0.4,0.6,0.6429
Member Unity Check (UC),0.5385,0.375,0.4286,0.4375,0.2222
Force,0.0909,0.1667,0.0909,0.25,0.0769
Bearing Capacity,0.4615,0.3125,0.4615,0.6923,0.3125
Bearing Capacity,0.4615,0.3125,0.4615,0.6923,0.3125
Finite Element,0.5,0.5455,0.5,0.3846,0.3077
Probability of Failure ,0.3333,0.4667,0.3333,0.5333,0.4667
Blowcounts,0.1429,0.0588,0.1429,0.2667,0.2857
Bearing Capacity,0.4615,0.3125,0.4615,0.6923,0.3125
Factual Reporting ,0.3125,0.3529,0.3125,0.6,0.4375
Geohazard Risk Index,0.3125,0.2778,0.3125,0.3333,0.2778
Shear Strength,0.3333,0.2,0.3333,0.3571,0.3846
Soil Strength,0.3846,0.25,0.3846,0.4,0.3333
Region,0.3,0.1538,0.3,0.3333,0.0714
Cluster,0.1667,0.1429,0.1667,0.2143,0.4545
Field/RO,0.1667,0.3333,0.2727,0.2143,0.2308
Pipeline ID,0.4,0.3333,0.5556,0.4167,0.4545
Pipeline Name,0.3636,0.5455,0.3636,0.5,0.4167
From,0.0,0.1818,0.0,0.0769,0.0
To,0.125,0.0,0.125,0.2,0.1
Length,0.3,0.1538,0.3,0.2308,0.25
Year Install,0.5455,0.4615,0.5455,0.5385,0.4615
Design Life,0.3333,0.3846,0.4545,0.2667,0.3846
Launcher/ Receiver Platform Water Depth,0.25,0.35,0.3158,0.4737,0.4211
Maximum Allowable Operating Pressure (MAOP),0.2632,0.3,0.2632,0.4211,0.4444
Product Type,0.3077,0.1875,0.4167,0.5385,0.4615
Service,0.1818,0.1538,0.1818,0.2308,0.1538
OP / Operational Pigging Frequency,0.3529,0.3889,0.3529,0.625,0.3889
Pipeline Status,0.4167,0.3571,0.4167,0.5385,0.7273
Commissioning Date,0.3571,0.3125,0.4615,0.5714,0.4
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Material Type,0.4167,0.5833,0.4167,0.5385,0.4615
Material Grade,0.3077,0.4615,0.4167,0.3333,0.4615
Design Pressure,0.3077,0.1875,0.4167,0.3333,0.4615
Design Temp: Min,0.4167,0.2667,0.5455,0.4286,0.4615
Design Temp: Max,0.3571,0.3125,0.4615,0.4667,0.5
Hydrotest Pressure,0.2857,0.1765,0.3846,0.4,0.5385
Design Code,0.3333,0.2,0.4545,0.4615,0.2857
Corrosion Coating Thickness,0.4286,0.2941,0.3333,0.5333,0.2941
Corrosion Coating Density,0.4286,0.2941,0.5385,0.6429,0.375
Location Class / Zone,0.3846,0.3333,0.3846,0.6154,0.4286
Design Factor,0.3333,0.2941,0.4286,0.5333,0.375
Infill Material,0.4167,0.5833,0.4167,0.4286,0.3571
Seam Type,0.3636,0.4167,0.3636,0.5,0.5455
Cathodic Protection,0.3571,0.2353,0.4615,0.6923,0.4
Maximum Free Span Length,0.2778,0.3889,0.2778,0.3684,0.4706
Soil Type,0.4545,0.3846,0.4545,0.5833,0.5
Steel Density,0.6,0.3846,0.7778,0.4615,0.5
Specified Minimum Yield Strength,0.3333,0.3684,0.4118,0.4211,0.4444
Specified Minimum Tensile Strength,0.2778,0.3158,0.3529,0.3684,0.4706
Steel Poisson Ratio,0.3846,0.3333,0.3846,0.6154,0.5385
Thermal Expansion Coefficient,0.2778,0.3889,0.2778,0.5294,0.3889
Burial Depth,0.2667,0.3125,0.3571,0.375,0.6154
Pipeline Sectioning Name,0.3333,0.375,0.3333,0.6429,0.4667
Corrosion Allowance,0.2857,0.3333,0.2857,0.5,0.3333
Type of Field Joint Coating,0.375,0.4118,0.4667,0.6667,0.4118
Right of Way,0.2857,0.3333,0.2857,0.4,0.1765
Pipeline Protection,0.4167,0.2667,0.4167,0.6667,0.3571
Water Depth / Pipeline Profile,0.3125,0.3529,0.4,0.5,0.4375
Terrain Type,0.6,0.3846,0.6,0.7273,0.3846
Corrosion Rate,0.4167,0.2667,0.4167,0.6667,0.3571
Sampling Date,0.3571,0.4,0.4615,0.4667,0.6154
Launcher/ Receiver Platform Water Depth,0.25,0.35,0.3158,0.4737,0.4211
Material Grade,0.3077,0.4615,0.4167,0.3333,0.4615
Launcher/ Receiver Platform Water Depth,0.25,0.35,0.3158,0.4737,0.4211
Concrete Coating Thickness,0.4286,0.2941,0.3333,0.5333,0.2941
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
No. of Vessel Per Year,0.2667,0.4,0.2667,0.4667,0.4
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Specified Minimum Yield Strength,0.3333,0.3684,0.4118,0.4211,0.4444
Anchor Mass,0.1429,0.2,0.1429,0.3571,0.2
Anchor Height,0.3846,0.25,0.3846,0.6154,0.25
Anchor Width,0.2857,0.1765,0.3846,0.5,0.25
Anchor Breadth,0.2857,0.1765,0.3846,0.5,0.3333
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Concrete Coating Thickness,0.4286,0.2941,0.3333,0.5333,0.2941
Corrosion Coating Thickness,0.4286,0.2941,0.3333,0.5333,0.2941
Field Joint Coating Length,0.3125,0.3529,0.4,0.5,0.3529
Seawater Density,0.5,0.3333,0.6364,0.5,0.4286
Steel Density,0.6,0.3846,0.7778,0.4615,0.5
Concrete Coating Density,0.4286,0.2941,0.5385,0.6429,0.375
Product Density,0.4286,0.2222,0.5385,0.6429,0.4667
Corrosion Coating Density,0.4286,0.2941,0.5385,0.6429,0.375
Field Joint Coating Density,0.375,0.4118,0.4667,0.5625,0.4118
Soil Type,0.4545,0.3846,0.4545,0.5833,0.5
Inspection Year,0.4615,0.3125,0.4615,0.8333,0.4
Specified Minimum Yield Strength,0.3333,0.3684,0.4118,0.4211,0.4444
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Maximum Allowable Operating Pressure (MAOP),0.2632,0.3,0.2632,0.4211,0.4444
Kilometre Post (KP),0.3846,0.4286,0.2857,0.4,0.4286
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Defect Depth,0.25,0.2143,0.3636,0.3846,0.4167
Defect Length,0.3077,0.2667,0.4167,0.3333,0.3571
Defect Width,0.3333,0.2857,0.4545,0.3571,0.2857
Design Factor,0.3333,0.2941,0.4286,0.5333,0.375
Launcher/ Receiver Platform Water Depth,0.25,0.35,0.3158,0.4737,0.4211
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Concrete Coating Thickness,0.4286,0.2941,0.3333,0.5333,0.2941
Anode Length,0.3077,0.2667,0.4167,0.4286,0.4615
Anode Width,0.4167,0.2667,0.5455,0.5385,0.3571
Anode Height,0.4167,0.2667,0.5455,0.5385,0.3571
Anode Spacing,0.2857,0.25,0.3846,0.6154,0.4286
Anode Type,0.4545,0.2857,0.6,0.7273,0.5
Initial Weight of Anode,0.3333,0.375,0.4286,0.4375,0.375
Field Gradient,0.3846,0.4286,0.5,0.4,0.4286
Kilometre Post (KP),0.3846,0.4286,0.2857,0.4,0.4286
Length,0.3,0.1538,0.3,0.2308,0.25
Design Temp: Max,0.3571,0.3125,0.4615,0.4667,0.5
Launcher/Receiver Platform Water Depth,0.25,0.35,0.3158,0.4737,0.4211
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Young's Modulus (steel),0.3571,0.3125,0.4615,0.375,0.5
Steel Poisson Ratio,0.3846,0.3333,0.3846,0.6154,0.5385
Specified Minimum Yield Strength,0.3333,0.3684,0.4118,0.4211,0.4444
Specified Minimum Tensile Strength,0.2778,0.3158,0.3529,0.3684,0.4706
Operating Pressure,0.3571,0.2353,0.3571,0.5714,0.5
Design Pressure,0.3077,0.1875,0.4167,0.3333,0.4615
Operating Temperature,0.3571,0.3125,0.3571,0.5714,0.4
Flowrate,0.1538,0.3077,0.1538,0.2857,0.3077
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Pipe Roughness,0.2857,0.1765,0.2857,0.4,0.3333
Elevation,0.3636,0.3077,0.3636,0.5,0.3077
Pipe Conductivity,0.4615,0.2353,0.5833,0.6923,0.4
Coating Conductivity,0.3571,0.2353,0.4615,0.5714,0.3125
Corrosion Coating Thickness,0.4286,0.2941,0.3333,0.5333,0.2941
From,0.0,0.1818,0.0,0.0769,0.0
To,0.125,0.0,0.125,0.2,0.1
Length,0.3,0.1538,0.3,0.2308,0.25
Year Install,0.5455,0.4615,0.5455,0.5385,0.4615
Design Life,0.3333,0.3846,0.4545,0.2667,0.3846
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Material Type,0.4167,0.5833,0.4167,0.5385,0.4615
Material Grade,0.3077,0.4615,0.4167,0.3333,0.4615
Anode Type,0.4545,0.2857,0.6,0.7273,0.5
Design Pressure,0.3077,0.1875,0.4167,0.3333,0.4615
Maximum Allowable Operating Pressure (MAOP),0.2632,0.3,0.2632,0.4211,0.4444
Maximum Operating Pressure (MOP),0.3125,0.2778,0.3125,0.5,0.4375
Operating Pressure,0.3571,0.2353,0.3571,0.5714,0.5
Operating Temperature,0.3571,0.3125,0.3571,0.5714,0.4
Flowrate,0.1538,0.3077,0.1538,0.2857,0.3077
Design Code,0.3333,0.2,0.4545,0.4615,0.2857
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Material Type,0.4167,0.5833,0.4167,0.5385,0.4615
Material Grade,0.3077,0.4615,0.4167,0.3333,0.4615
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Material Type,0.4167,0.5833,0.4167,0.5385,0.4615
Material Grade,0.3077,0.4615,0.4167,0.3333,0.4615
Year Install,0.5455,0.4615,0.5455,0.5385,0.4615
Product Type,0.3077,0.1875,0.4167,0.5385,0.4615
Design Temp: Min,0.4167,0.2667,0.5455,0.4286,0.4615
Design Temp: Max,0.3571,0.3125,0.4615,0.4667,0.5
Operating Temperature,0.3571,0.3125,0.3571,0.5714,0.4
Corrosion Coating Type,0.4286,0.2941,0.4286,0.7692,0.375
Operating Pressure,0.3571,0.2353,0.3571,0.5714,0.5
Design Pressure,0.3077,0.1875,0.4167,0.3333,0.4615
Maximum Allowable Operating Pressure (MAOP),0.2632,0.3,0.2632,0.4211,0.4444
Defect Depth,0.25,0.2143,0.3636,0.3846,0.4167
Defect Length,0.3077,0.2667,0.4167,0.3333,0.3571
Minimum Operating Temperature,0.3571,0.3125,0.3571,0.5714,0.4
Maximum Operating Temperature,0.3333,0.2941,0.3333,0.5333,0.375
Minimum Operating Pressure,0.3333,0.2941,0.3333,0.5333,0.4667
Maximum Operating Pressure,0.3125,0.2778,0.3125,0.5,0.4375
Region,0.3,0.1538,0.3,0.3333,0.0714
Cluster,0.1667,0.1429,0.1667,0.2143,0.4545
Field/RO,0.1667,0.3333,0.2727,0.2143,0.2308
Pipeline ID,0.4,0.3333,0.5556,0.4167,0.4545
Pipeline Name,0.3636,0.5455,0.3636,0.5,0.4167
From,0.0,0.1818,0.0,0.0769,0.0
To,0.125,0.0,0.125,0.2,0.1
Length,0.3,0.1538,0.3,0.2308,0.25
Year Install,0.5455,0.4615,0.5455,0.5385,0.4615
Design Life,0.3333,0.3846,0.4545,0.2667,0.3846
Launcher/Receiver Platform Water Depth,0.25,0.35,0.3158,0.4737,0.4211
Maximum Allowable Operating Pressure (MAOP),0.2632,0.3,0.2632,0.4211,0.4444
Product Type,0.3077,0.1875,0.4167,0.5385,0.4615
Service,0.1818,0.1538,0.1818,0.2308,0.1538
OP / Operational Pigging Frequency,0.3529,0.3889,0.3529,0.625,0.3889
Pipeline Status,0.4167,0.3571,0.4167,0.5385,0.7273
Commissioning Date,0.3571,0.3125,0.4615,0.5714,0.4
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Material Type,0.4167,0.5833,0.4167,0.5385,0.4615
Material Grade,0.3077,0.4615,0.4167,0.3333,0.4615
Design Pressure,0.3077,0.1875,0.4167,0.3333,0.4615
Design Temp: Min,0.4167,0.2667,0.5455,0.4286,0.4615
Design Temp: Max,0.3571,0.3125,0.4615,0.4667,0.5
Hydrotest Pressure,0.2857,0.1765,0.3846,0.4,0.5385
Design Code,0.3333,0.2,0.4545,0.4615,0.2857
Corrosion Coating Thickness,0.4286,0.2941,0.3333,0.5333,0.2941
Corrosion Coating Density,0.4286,0.2941,0.5385,0.6429,0.375
Location Class / Zone,0.3846,0.3333,0.3846,0.6154,0.4286
Design Factor,0.3333,0.2941,0.4286,0.5333,0.375
Infill Material,0.4167,0.5833,0.4167,0.4286,0.3571
Seam Type,0.3636,0.4167,0.3636,0.5,0.5455
Cathodic Protection,0.3571,0.2353,0.4615,0.6923,0.4
Maximum Free Span Length,0.2778,0.3889,0.2778,0.3684,0.4706
Soil Type,0.4545,0.3846,0.4545,0.5833,0.5
Steel Density,0.6,0.3846,0.7778,0.4615,0.5
Specified Minimum Yield Strength,0.3333,0.3684,0.4118,0.4211,0.4444
Specified Minimum Tensile Strength,0.2778,0.3158,0.3529,0.3684,0.4706
Steel Poisson Ratio,0.3846,0.3333,0.3846,0.6154,0.5385
Thermal Expansion Coefficient,0.2778,0.3889,0.2778,0.5294,0.3889
Burial Depth,0.2667,0.3125,0.3571,0.375,0.6154
Pipeline Sectioning Name,0.3333,0.375,0.3333,0.6429,0.4667
Corrosion Allowance,0.2857,0.3333,0.2857,0.5,0.3333
Type of Field Joint Coating,0.375,0.4118,0.4667,0.6667,0.4118
Right of Way,0.2857,0.3333,0.2857,0.4,0.1765
Pipeline Protection,0.4167,0.2667,0.4167,0.6667,0.3571
Water Depth / Pipeline Profile,0.3125,0.3529,0.4,0.5,0.4375
Terrain Type,0.6,0.3846,0.6,0.7273,0.3846
Weld Joint KP,0.4615,0.3125,0.4615,0.4667,0.4
Top of Pipe Elevation,0.3846,0.4286,0.3846,0.6154,0.4286
Operating Pressure,0.3571,0.2353,0.3571,0.5714,0.5
