DATA ELEMENT,ENTY_KEY,FMLY_KEY,ENTY_ID,ENTY_CAPTION_TX,LAST_UPDT_DT
Substructure Fatigue Life,0.4874,0.3659,0.506,0.5061,0.5698
Reserve Strength Ratio (RSR),0.4708,0.2062,0.4277,0.4515,0.443
Probability of Failure,0.377,0.5869,0.4683,0.5412,0.4113
Maximum Stress,0.2582,0.3618,0.2887,0.2919,0.4057
Risk Ranking,0.3554,0.3459,0.3974,0.4305,0.1551
Design Reinforcement,0.6049,0.3767,0.6312,0.6187,0.396
Member Unity Check (UC),0.5756,0.4654,0.4456,0.5006,0.3189
Design Reinforcement,0.6049,0.3767,0.6312,0.6187,0.396
Invert Level,0.5634,0.3948,0.504,0.455,0.4057
Invert Level,0.5634,0.3948,0.504,0.455,0.4057
Invert Level,0.5634,0.3948,0.504,0.455,0.4057
Member Unity Check (UC),0.5756,0.4654,0.4456,0.5006,0.3189
Road Pavement Layer Thickness,0.6445,0.5436,0.5604,0.6651,0.7032
Member Unity Check (UC),0.5756,0.4654,0.4456,0.5006,0.3189
Structural Natural Period,0.3482,0.2846,0.4282,0.5623,0.6838
Member Unity Check (UC),0.5756,0.4654,0.4456,0.5006,0.3189
Force,0.2309,0.2697,0.1291,0.2798,0.1512
Bearing Capacity,0.4648,0.4824,0.5196,0.7089,0.5071
Bearing Capacity,0.4648,0.4824,0.5196,0.7089,0.5071
Finite Element,0.742,0.4874,0.7259,0.6741,0.4554
Probability of Failure ,0.377,0.5869,0.4683,0.5412,0.4113
Blowcounts,0.2236,0.087,0.25,0.4815,0.2928
Bearing Capacity,0.4648,0.4824,0.5196,0.7089,0.5071
Factual Reporting ,0.4404,0.3857,0.4924,0.7113,0.6126
Geohazard Risk Index,0.3904,0.3989,0.491,0.4335,0.543
Shear Strength,0.4845,0.1886,0.4214,0.4783,0.5287
Soil Strength,0.5164,0.2261,0.5774,0.6255,0.4648
Region,0.4216,0.2462,0.4714,0.5108,0.138
Cluster,0.3904,0.2279,0.3273,0.3941,0.5111
Field/RO,0.2928,0.4558,0.4364,0.3152,0.3833
Pipeline ID,0.4619,0.4045,0.6455,0.5595,0.378
Pipeline Name,0.527,0.4924,0.5303,0.5959,0.414
From,0.0,0.3015,0.0,0.1043,0.0
To,0.3651,0.0,0.4082,0.5898,0.3586
Length,0.527,0.2462,0.4714,0.5108,0.414
Year Install,0.5333,0.6228,0.5217,0.5922,0.611
Design Life,0.483,0.4835,0.6172,0.4458,0.4066
Launcher/ Receiver Platform Water Depth,0.5064,0.4139,0.4529,0.5521,0.6298
Maximum Allowable Operating Pressure (MAOP),0.3186,0.5151,0.3014,0.475,0.5776
Product Type,0.5333,0.2335,0.5217,0.6461,0.611
Service,0.4303,0.3015,0.3849,0.3475,0.2817
OP / Operational Pigging Frequency,0.4973,0.4356,0.5213,0.7029,0.407
Pipeline Status,0.5798,0.3693,0.6482,0.7236,0.6556
Commissioning Date,0.4174,0.3791,0.6222,0.6741,0.3947
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Material Type,0.6694,0.6396,0.6124,0.6881,0.7171
Material Grade,0.3769,0.503,0.4214,0.4348,0.7049
Design Pressure,0.3904,0.2279,0.3819,0.3152,0.4472
Design Temp: Min,0.5634,0.3948,0.6929,0.637,0.4426
Design Temp: Max,0.501,0.4388,0.5601,0.5563,0.6149
Hydrotest Pressure,0.5094,0.2478,0.4271,0.4114,0.5558
Design Code,0.414,0.2417,0.5401,0.4458,0.4969
Corrosion Coating Thickness,0.4163,0.2244,0.5013,0.6983,0.2935
Corrosion Coating Density,0.4874,0.2846,0.6228,0.7591,0.3647
Location Class / Zone,0.3146,0.3149,0.3518,0.6171,0.4414
Design Factor,0.4472,0.3482,0.5833,0.6621,0.5855
Infill Material,0.3904,0.6268,0.5455,0.5517,0.4472
Seam Type,0.6532,0.5721,0.4564,0.5275,0.6414
Cathodic Protection,0.4607,0.1956,0.6088,0.8118,0.4936
Maximum Free Span Length,0.4669,0.5452,0.4271,0.5142,0.528
Soil Type,0.639,0.533,0.6124,0.6635,0.4781
Steel Density,0.7707,0.45,0.7385,0.6224,0.6487
Specified Minimum Yield Strength,0.6261,0.557,0.7667,0.6501,0.488
Specified Minimum Tensile Strength,0.6358,0.464,0.7404,0.6846,0.4856
Steel Poisson Ratio,0.4801,0.3058,0.5367,0.6697,0.5143
Thermal Expansion Coefficient,0.5951,0.5019,0.6283,0.7742,0.4978
Burial Depth,0.3892,0.3636,0.5222,0.503,0.7135
Pipeline Sectioning Name,0.6,0.4282,0.6708,0.7537,0.3928
Corrosion Allowance,0.2041,0.286,0.2282,0.4945,0.294
Type of Field Joint Coating,0.6403,0.4838,0.7579,0.8516,0.5178
Right of Way,0.4082,0.4767,0.4564,0.5275,0.3207
Pipeline Protection,0.5976,0.3257,0.6682,0.8044,0.4173
Water Depth / Pipeline Profile,0.5595,0.4356,0.5908,0.6276,0.5698
Terrain Type,0.7515,0.4388,0.7001,0.7586,0.5739
Corrosion Rate,0.3098,0.1809,0.3464,0.5421,0.3043
Sampling Date,0.414,0.4835,0.5401,0.613,0.768
Launcher/ Receiver Platform Water Depth,0.5064,0.4139,0.4529,0.5521,0.6298
Material Grade,0.3769,0.503,0.4214,0.4348,0.7049
Launcher/ Receiver Platform Water Depth,0.5064,0.4139,0.4529,0.5521,0.6298
Concrete Coating Thickness,0.6,0.2725,0.5963,0.7807,0.4364
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
No. of Vessel Per Year,0.4801,0.4587,0.2928,0.3877,0.4286
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Specified Minimum Yield Strength,0.6261,0.557,0.7667,0.6501,0.488
Anchor Mass,0.069,0.2417,0.0772,0.3344,0.3614
Anchor Height,0.3651,0.2132,0.4082,0.5406,0.3187
Anchor Width,0.2864,0.1672,0.4804,0.5783,0.4219
Anchor Breadth,0.2962,0.2075,0.3311,0.4784,0.5429
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Concrete Coating Thickness,0.6,0.2725,0.5963,0.7807,0.4364
Corrosion Coating Thickness,0.4163,0.2244,0.5013,0.6983,0.2935
Field Joint Coating Length,0.5902,0.3877,0.7423,0.8043,0.5071
Seawater Density,0.6957,0.4642,0.6667,0.6421,0.7482
Steel Density,0.7707,0.45,0.7385,0.6224,0.6487
Concrete Coating Density,0.6938,0.3411,0.7348,0.8552,0.5259
Product Density,0.6086,0.2843,0.7485,0.7372,0.6773
Corrosion Coating Density,0.4874,0.2846,0.6228,0.7591,0.3647
Field Joint Coating Density,0.6676,0.4513,0.8642,0.8513,0.5521
Soil Type,0.639,0.533,0.6124,0.6635,0.4781
Inspection Year,0.6928,0.4719,0.71,0.8393,0.4536
Specified Minimum Yield Strength,0.6261,0.557,0.7667,0.6501,0.488
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Maximum Allowable Operating Pressure (MAOP),0.3186,0.5151,0.3014,0.475,0.5776
Kilometre Post (KP),0.568,0.4221,0.4619,0.5838,0.4733
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Defect Depth,0.5634,0.2632,0.5669,0.5005,0.7008
Defect Length,0.6351,0.3371,0.5809,0.5595,0.6047
Defect Width,0.5636,0.2925,0.7001,0.5563,0.6559
Design Factor,0.4472,0.3482,0.5833,0.6621,0.5855
Launcher/ Receiver Platform Water Depth,0.5064,0.4139,0.4529,0.5521,0.6298
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Concrete Coating Thickness,0.6,0.2725,0.5963,0.7807,0.4364
Anode Length,0.5333,0.3114,0.5217,0.5922,0.611
Anode Width,0.4472,0.2611,0.6667,0.6019,0.6831
Anode Height,0.5333,0.3114,0.5963,0.5922,0.5674
Anode Spacing,0.3227,0.3015,0.433,0.6255,0.5494
Anode Type,0.7006,0.4545,0.6093,0.6916,0.7135
Initial Weight of Anode,0.5578,0.4652,0.7572,0.7722,0.5216
Field Gradient,0.5331,0.4842,0.7285,0.574,0.6592
Kilometre Post (KP),0.568,0.4221,0.4619,0.5838,0.4733
Length,0.527,0.2462,0.4714,0.5108,0.414
Design Temp: Max,0.501,0.4388,0.5601,0.5563,0.6149
Launcher/Receiver Platform Water Depth,0.5064,0.4139,0.4529,0.5521,0.6298
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Young's Modulus (steel),0.3873,0.3518,0.3368,0.3475,0.5071
Steel Poisson Ratio,0.4801,0.3058,0.5367,0.6697,0.5143
Specified Minimum Yield Strength,0.6261,0.557,0.7667,0.6501,0.488
Specified Minimum Tensile Strength,0.6358,0.464,0.7404,0.6846,0.4856
Operating Pressure,0.4495,0.2624,0.402,0.5082,0.5002
Design Pressure,0.3904,0.2279,0.3819,0.3152,0.4472
Operating Temperature,0.5963,0.3482,0.5417,0.6621,0.6343
Flowrate,0.3651,0.4264,0.3062,0.4423,0.5379
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Pipe Roughness,0.3554,0.2075,0.3311,0.4305,0.349
Elevation,0.6228,0.4545,0.6093,0.6916,0.5606
Pipe Conductivity,0.5855,0.3419,0.7638,0.8275,0.4472
Coating Conductivity,0.5242,0.2825,0.7213,0.8467,0.4224
Corrosion Coating Thickness,0.4163,0.2244,0.5013,0.6983,0.2935
From,0.0,0.3015,0.0,0.1043,0.0
To,0.3651,0.0,0.4082,0.5898,0.3586
Length,0.527,0.2462,0.4714,0.5108,0.414
Year Install,0.5333,0.6228,0.5217,0.5922,0.611
Design Life,0.483,0.4835,0.6172,0.4458,0.4066
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Material Type,0.6694,0.6396,0.6124,0.6881,0.7171
Material Grade,0.3769,0.503,0.4214,0.4348,0.7049
Anode Type,0.7006,0.4545,0.6093,0.6916,0.7135
Design Pressure,0.3904,0.2279,0.3819,0.3152,0.4472
Maximum Allowable Operating Pressure (MAOP),0.3186,0.5151,0.3014,0.475,0.5776
Maximum Operating Pressure (MOP),0.347,0.4052,0.3527,0.484,0.4543
Operating Pressure,0.4495,0.2624,0.402,0.5082,0.5002
Operating Temperature,0.5963,0.3482,0.5417,0.6621,0.6343
Flowrate,0.3651,0.4264,0.3062,0.4423,0.5379
Design Code,0.414,0.2417,0.5401,0.4458,0.4969
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Material Type,0.6694,0.6396,0.6124,0.6881,0.7171
Material Grade,0.3769,0.503,0.4214,0.4348,0.7049
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Material Type,0.6694,0.6396,0.6124,0.6881,0.7171
Material Grade,0.3769,0.503,0.4214,0.4348,0.7049
Year Install,0.5333,0.6228,0.5217,0.5922,0.611
Product Type,0.5333,0.2335,0.5217,0.6461,0.611
Design Temp: Min,0.5634,0.3948,0.6929,0.637,0.4426
Design Temp: Max,0.501,0.4388,0.5601,0.5563,0.6149
Operating Temperature,0.5963,0.3482,0.5417,0.6621,0.6343
Corrosion Coating Type,0.4781,0.2791,0.5345,0.7722,0.3391
Operating Pressure,0.4495,0.2624,0.402,0.5082,0.5002
Design Pressure,0.3904,0.2279,0.3819,0.3152,0.4472
Maximum Allowable Operating Pressure (MAOP),0.3186,0.5151,0.3014,0.475,0.5776
Defect Depth,0.5634,0.2632,0.5669,0.5005,0.7008
Defect Length,0.6351,0.3371,0.5809,0.5595,0.6047
Minimum Operating Temperature,0.5591,0.4467,0.5922,0.6653,0.5201
Maximum Operating Temperature,0.5068,0.4526,0.5,0.6019,0.5855
Minimum Operating Pressure,0.4485,0.4029,0.5015,0.5573,0.4066
Maximum Operating Pressure,0.3939,0.4181,0.4003,0.4916,0.4922
Region,0.4216,0.2462,0.4714,0.5108,0.138
Cluster,0.3904,0.2279,0.3273,0.3941,0.5111
Field/RO,0.2928,0.4558,0.4364,0.3152,0.3833
Pipeline ID,0.4619,0.4045,0.6455,0.5595,0.378
Pipeline Name,0.527,0.4924,0.5303,0.5959,0.414
From,0.0,0.3015,0.0,0.1043,0.0
To,0.3651,0.0,0.4082,0.5898,0.3586
Length,0.527,0.2462,0.4714,0.5108,0.414
Year Install,0.5333,0.6228,0.5217,0.5922,0.611
Design Life,0.483,0.4835,0.6172,0.4458,0.4066
Launcher/Receiver Platform Water Depth,0.5064,0.4139,0.4529,0.5521,0.6298
Maximum Allowable Operating Pressure (MAOP),0.3186,0.5151,0.3014,0.475,0.5776
Product Type,0.5333,0.2335,0.5217,0.6461,0.611
Service,0.4303,0.3015,0.3849,0.3475,0.2817
OP / Operational Pigging Frequency,0.4973,0.4356,0.5213,0.7029,0.407
Pipeline Status,0.5798,0.3693,0.6482,0.7236,0.6556
Commissioning Date,0.4174,0.3791,0.6222,0.6741,0.3947
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Material Type,0.6694,0.6396,0.6124,0.6881,0.7171
Material Grade,0.3769,0.503,0.4214,0.4348,0.7049
Design Pressure,0.3904,0.2279,0.3819,0.3152,0.4472
Design Temp: Min,0.5634,0.3948,0.6929,0.637,0.4426
Design Temp: Max,0.501,0.4388,0.5601,0.5563,0.6149
Hydrotest Pressure,0.5094,0.2478,0.4271,0.4114,0.5558
Design Code,0.414,0.2417,0.5401,0.4458,0.4969
Corrosion Coating Thickness,0.4163,0.2244,0.5013,0.6983,0.2935
Corrosion Coating Density,0.4874,0.2846,0.6228,0.7591,0.3647
Location Class / Zone,0.3146,0.3149,0.3518,0.6171,0.4414
Design Factor,0.4472,0.3482,0.5833,0.6621,0.5855
Infill Material,0.3904,0.6268,0.5455,0.5517,0.4472
Seam Type,0.6532,0.5721,0.4564,0.5275,0.6414
Cathodic Protection,0.4607,0.1956,0.6088,0.8118,0.4936
Maximum Free Span Length,0.4669,0.5452,0.4271,0.5142,0.528
Soil Type,0.639,0.533,0.6124,0.6635,0.4781
Steel Density,0.7707,0.45,0.7385,0.6224,0.6487
Specified Minimum Yield Strength,0.6261,0.557,0.7667,0.6501,0.488
Specified Minimum Tensile Strength,0.6358,0.464,0.7404,0.6846,0.4856
Steel Poisson Ratio,0.4801,0.3058,0.5367,0.6697,0.5143
Thermal Expansion Coefficient,0.5951,0.5019,0.6283,0.7742,0.4978
Burial Depth,0.3892,0.3636,0.5222,0.503,0.7135
Pipeline Sectioning Name,0.6,0.4282,0.6708,0.7537,0.3928
Corrosion Allowance,0.2041,0.286,0.2282,0.4945,0.294
Type of Field Joint Coating,0.6403,0.4838,0.7579,0.8516,0.5178
Right of Way,0.4082,0.4767,0.4564,0.5275,0.3207
Pipeline Protection,0.5976,0.3257,0.6682,0.8044,0.4173
Water Depth / Pipeline Profile,0.5595,0.4356,0.5908,0.6276,0.5698
